time,temperature 1,humidity 1,pressure 1,voltage 1,temperature 2,humidity 2,pressure 2,voltage 2,humidity 1 int.,humidity 2 int.
0,27.09,52.87,1012.7969831461488,1024,,,,,
2648882,27.13,47.18,1012.6042210919361,1024,,,,,
3773305,,,,,27.65,37.19,1011.6239758561599,1024,43.839713920795525,37.19,
4402697,27.51,41.97,1012.5989692981271,1024,,,,,
6406139,,,,,27.34,36.69,1011.2816686889767,1024,43.01647909034721,36.69,
8863388,27.13,44.3,1012.1433460912606,1012,,,,,44.3,39.43911395959802,
9945718,,,,,26.88,40.65,1013.5456033902441,1024,46.334291343842224,40.65,
10592527,26.95,47.55,1015.5809380165439,1024,,,,,47.55,42.18498592808114,
11711291,,,,,27.17,44.84,1013.397593116843,1024,48.85167506671866,44.84,
14159370,27.15,51.7,1015.890103487335,1024,,,,,51.7,47.7639401820814,
17052968,,,,,25.12,51.22,1016.0462630276971,1024,53.66397589509482,51.22,
17680645,26.14,54.09,1016.7725763121468,1024,,,,,54.09,48.204044646276344,
17883362,,,,,26.72,47.23,1015.6179669294918,1024,53.53385949653919,47.23,
18537236,26.86,51.74,1016.694835862672,1024,,,,,51.74,46.88955857685177,
19650374,,,,,27.05,46.31,1015.7598936364071,1024,53.91676606174346,46.31,
21201486,25.16,56.95,1017.9331085505531,1012,,,,,56.95,50.72947823146073,
21377155,,,,,25.35,51.23,1017.1480791979089,1024,57.289623598346274,51.23,
22241877,,,,,24.79,53.59,1017.3462681800614,1024,58.96140403319354,53.59,
22949778,24.59,60.33,1017.6452615594554,1024,,,,,60.33,54.43742635099061,
24704067,23.94,63.08,1018.0983111532885,1024,,,,,63.08,56.53748091490982,
25783778,,,,,23.55,57.83,1017.1172519782978,1024,62.198141005886306,57.83,
27348680,24.48,60.92,1018.6306059360116,1024,,,,,60.92,54.34638766341522,
27513268,,,,,25.06,53.98,1017.1994341876617,1024,60.33185201828558,53.98,
28185405,25.43,57.93,1018.2871538753471,1024,,,,,57.93,52.55580491939329,
28362763,,,,,25.54,52.18,1017.5146071843851,1024,57.84450231390122,52.18,
31732661,25.78,56.22,1018.5034900923248,1014,,,,,56.22,51.1155190149052,
33712908,,,,,25.86,50.49,1017.5615574907965,1024,55.37022771139155,50.49,
37069109,26.19,53.93,1019.1595754843545,1021,,,,,53.93,48.24470775978318,
37240571,,,,,26.2,48.13,1018.1405934889694,1024,53.7941575327341,48.13,
42408266,26.27,49.7,1019.9054989781822,1024,,,,,49.7,44.12647729162602,
43487980,,,,,26.34,43.29,1018.944603384969,1024,48.60656545728575,43.29,
46140586,,,,,26.01,40.31,1019.6184409161565,1024,45.9202512772241,40.31,
46861674,26.01,45.19,1020.7171670044768,1024,,,,,45.19,39.99834574879356,
53266916,,,,,25.91,37.23,1019.2712426355508,1024,42.88149911805201,37.23,
53992480,25.96,42.62,1020.3084139964793,1024,,,,,42.62,37.16890216324525,
60392183,,,,,26.07,36.63,1019.0722373380713,1024,42.37777387646651,36.63,
61125979,26.08,42.35,1020.2608877757895,1024,,,,,42.35,36.44673663137844,
67519395,,,,,26.24,34.85,1018.7192376080324,1024,41.31896149116054,34.85,
68257069,26.26,41.2,1019.7690237312424,1024,,,,,41.2,37.993330500487836,
68361893,,,,,26.57,38.44,1018.6289748589711,1024,41.214227806943065,38.44,
70909385,26.58,41.56,1019.6071518811804,1024,,,,,41.56,36.46380436048167,
75360198,26.24,38.45,1019.2856251707668,1024,,,,,38.45,33.011123353863596,
75490555,,,,,26.18,32.91,1018.230211487261,1024,38.535769607028165,32.91,
81591586,26.39,42.55,1019.6796971393366,1024,,,,,42.55,37.57011023127,
81722362,,,,,26.41,37.67,1018.5268456372695,1024,42.453960497835084,37.67,
84233264,25.93,40.61,1019.7533416422078,1012,,,,,40.61,34.38637209446479,
84368131,,,,,25.49,34.21,1018.5147407400912,1024,40.19625068436255,34.21,
85080768,25.36,38.01,1019.7596347982388,1015,,,,,38.01,33.7043202045907,
85934393,25.04,38.75,1019.8434164019018,1024,,,,,38.75,33.09859679231171,
86115620,,,,,25.12,32.97,1018.7298778446908,1024,38.88550992185028,32.97,
88582387,24.56,40.73,1020.5798795443574,1024,,,,,40.73,35.23652981704018,
88760299,,,,,24.52,35.4,1019.4344976538596,1024,40.876364043547014,35.4,
89609556,,,,,24.05,36.01,1019.658363216429,1024,41.575027925300965,36.01,
90332771,25.08,42.17,1020.9212159103931,1024,,,,,42.17,37.91902851755833,
90458156,,,,,25.18,38.25,1019.8020651220363,1024,42.46443096817143,38.25,
92087295,25.27,46.29,1021.1039046309822,1024,,,,,46.29,39.41434403780929,
92207144,,,,,25.55,39.5,1019.8414197641507,1024,46.01277828136118,39.5,
92938969,25.63,44.32,1020.9617179460226,1024,,,,,44.32,39.120223882926254,
94866391,,,,,25.88,38.12,1020.155213869061,1024,43.636804774150434,38.12,
100076574,25.59,41.79,1021.5292284064517,1024,,,,,41.79,36.09453683070643,
101991777,,,,,25.66,35.35,1020.1834569780216,1024,42.60090889229308,35.35,
103619271,26.23,43.29,1021.3984504529027,1024,,,,,43.29,37.14117762573338,
103727235,,,,,26.36,37.26,1020.2177919283295,1024,43.17190391213489,37.26,
105365402,25.15,41.38,1021.4736103720405,1024,,,,,41.38,36.095313680767944,
105471333,,,,,25.12,36.02,1020.3351726263586,1024,41.42507914324719,36.02,
108020777,24.81,42.51,1021.4401565778653,1024,,,,,42.51,37.13782259030805,
108116972,,,,,24.76,37.18,1020.28299509512,1024,42.52765650282809,37.18,
