time,temperature 1,humidity 1,pressure 1,voltage 1,temperature 2,humidity 2,pressure 2,voltage 2,humidity 1 int.,humidity 2 int.
0,27.51,41.97,1012.5989692981271,1024,,,,,
231214,,,,,27.61,35.45,1011.347232322408,1006,42.09077245879618,35.45,
4460691,27.13,44.3,1012.1433460912606,1012,,,,,
4668102,,,,,27.08,38.88,1011.0519293735824,1020,44.68983896031493,38.88,
6189830,26.95,47.55,1015.5809380165439,1024,,,,,47.55,41.771962462749535,
6415060,,,,,27.09,42.2,1014.1562415003932,1006,47.812053726502675,42.2,
9756673,27.15,51.7,1015.890103487335,1024,,,,,51.7,46.7124972410726,
12650273,,,,,25.06,50.62,1015.9007580310223,1006,53.66397725255767,50.62,
13277948,26.14,54.09,1016.7725763121468,1024,,,,,54.09,47.8746828053094,
13491649,,,,,26.65,46.94,1015.4554253670087,1024,53.50372562868394,46.94,
14134539,26.86,51.74,1016.694835862672,1024,,,,,51.74,45.92854239803502,
14343363,,,,,26.97,45.6,1015.9212437997945,1024,52.14835996621939,45.6,
16798789,25.16,56.95,1017.9331085505531,1012,,,,,56.95,50.25677254137146,
16985039,,,,,25.41,50.61,1016.9325004170458,1024,57.31008000951786,50.61,
17839201,,,,,24.79,53.09,1017.159719063634,1024,58.961444632818775,53.09,
18547081,24.59,60.33,1017.6452615594554,1024,,,,,60.33,53.90742839597671,
20301370,23.94,63.08,1018.0983111532885,1024,,,,,63.08,55.933203447326626,
21381076,,,,,23.61,57.18,1017.0124474303731,1024,62.19814508965962,57.18,
22945983,24.48,60.92,1018.6306059360116,1024,,,,,60.92,53.63936208944277,
23118075,,,,,25,53.25,1017.1317995937887,1024,60.30503680420688,53.25,
23782708,25.43,57.93,1018.2871538753471,1024,,,,,57.93,52.05827328340892,
23971365,,,,,25.41,51.72,1017.2781970748899,1024,57.83905548683264,51.72,
26635772,,,,,25.72,50.7,1017.3473988731856,1024,56.55464410800912,50.7,
27329964,25.78,56.22,1018.5034900923248,1014,,,,,56.22,50.407049077417625,
31967491,,,,,26.09,48.45,1017.6248763102126,1006,54.22992404873054,48.45,
32666412,26.19,53.93,1019.1595754843545,1021,,,,,53.93,47.9143329100221,
37303990,,,,,26.32,44.36,1018.6365992593604,1024,50.2558329095773,44.36,
38005569,26.27,49.7,1019.9054989781822,1024,,,,,49.7,43.676441469978826,
41737877,,,,,26.05,40.04,1019.531497535611,1024,45.92026342971495,40.04,
42458977,26.01,45.19,1020.7171670044768,1024,,,,,45.19,39.718221388256104,
48864199,,,,,25.96,36.86,1019.2106361027938,1024,42.881506326213334,36.86,
49589783,25.96,42.62,1020.3084139964793,1024,,,,,42.62,36.79584570113577,
55989488,,,,,26.06,36.23,1019.0485644227841,1024,42.377773800767336,36.23,
56723282,26.08,42.35,1020.2608877757895,1024,,,,,42.35,36.08174221079433,
63116691,,,,,26.19,34.79,1018.4927134080123,1024,41.31896262002022,34.79,
63854372,26.26,41.2,1019.7690237312424,1024,,,,,41.2,35.80040813839166,
64839685,,,,,26.52,37.15,1018.4357974170196,1013,41.333736960452676,37.15,
66506688,26.58,41.56,1019.6071518811804,1024,,,,,41.56,35.78231016575625,
70957501,26.24,38.45,1019.2856251707668,1024,,,,,38.45,32.13064805463833,
71067987,,,,,26.17,32.04,1018.1525022636516,1024,38.52269529677818,32.04,
76419784,,,,,26.38,36.62,1018.477930524438,1006,42.043960173881004,36.62,
77188889,26.39,42.55,1019.6796971393366,1024,,,,,42.55,36.060231241547285,
79830567,25.93,40.61,1019.7533416422078,1012,,,,,40.61,34.13756942776133,
79937145,,,,,25.56,34.06,1018.4533558626193,1024,40.283036587437934,34.06,
80678071,25.36,38.01,1019.7596347982388,1015,,,,,38.01,32.38528345600181,
80786589,,,,,25.25,32.14,1018.5646537508953,1024,38.10407329916532,32.14,
81531696,25.04,38.75,1019.8434164019018,1024,,,,,38.75,32.333410951194686,
83444783,,,,,24.82,32.83,1018.9984548367347,1006,40.18048370200234,32.83,
84179690,24.56,40.73,1020.5798795443574,1024,,,,,40.73,34.026142493877835,
85189672,,,,,24.17,35.67,1019.5697924656879,1024,41.56088858216254,35.67,
85930074,25.08,42.17,1020.9212159103931,1024,,,,,42.17,36.921724257004904,
86023695,,,,,25.19,37.08,1019.6149238343111,1024,42.38984225921104,37.08,
87684598,25.27,46.29,1021.1039046309822,1024,,,,,46.29,37.66487615341187,
88536272,25.63,44.32,1020.9617179460226,1024,,,,,44.32,37.96478759500774,
88664664,,,,,25.67,38.01,1019.8425557978118,1024,44.2744900901633,38.01,
95673877,25.59,41.79,1021.5292284064517,1024,,,,,41.79,35.64023075792142,
95792870,,,,,25.61,35.6,1020.2020178694672,1006,41.840382378171206,35.6,
99216574,26.23,43.29,1021.3984504529027,1024,,,,,43.29,37.01177967956668,
99333513,,,,,26.2,37.06,1020.1808117149682,1024,43.162086636111496,37.06,
100962705,25.15,41.38,1021.4736103720405,1024,,,,,41.38,35.42770944616009,
101080191,,,,,25.1,35.31,1020.2236121056075,1024,41.42999639598927,35.31,
103618080,24.81,42.51,1021.4401565778653,1024,,,,,42.51,36.807881812407,
103723328,,,,,24.75,36.87,1020.1766495500493,1024,42.52931817256251,36.87,
105361483,25.25,42.83,1021.3751666917889,1024,,,,,42.83,36.982489013101876,
105470864,,,,,25.23,36.99,1020.0883769942324,1024,42.87035985211453,36.99,
112489161,25.53,45.46,1020.8992844007588,1012,,,,,45.46,40.101537351661314,
112598472,,,,,25.54,40.15,1019.6694204007268,1016,45.473468776708295,40.15,
